"The number of electric vehicles currently being used on the roads of India, State wise as on

14-07-2022",,,,
Sr. No.,State Name,Total Electric Vehicle,Total Non-Electric Vehicle,Total
1,Andaman & Nicobar Island,162,146945,147107
2,Arunachal Pradesh,20,252965,252985
3,Assam,64766,4677053,4741819
4,Bihar,83335,10407078,10490413
5,Chandigarh,2812,746881,749693
6,Chhattisgarh,20966,6836200,6857166
7,Delhi,156393,7685600,7841993
8,Goa,3870,1071570,1075440
9,Gujarat,45272,20605484,20650756
10,Haryana,37035,10778270,10815305
11,Himachal Pradesh,1175,1964754,1965929
12,Jammu and Kashmir,2941,1869962,1872903
13,Jharkhand,16811,6486937,6503748
14,Karnataka,120532,26870303,26990835
15,Kerala,30775,15774078,15804853
16,Ladakh,26,38302,38328
17,Maharashtra,116646,31058990,31175636
18,Manipur,586,499324,499910
19,Meghalaya,49,459001,459050
20,Mizoram,21,315626,315647
21,Nagaland,58,339129,339187
22,Odisha,23371,9845073,9868444
23,Puducherry,2149,1213735,1215884
24,Punjab,14804,12463019,12477823
25,Rajasthan,81338,17327388,17408726
26,Sikkim,21,97189,97210
27,Tamil Nadu,82051,29842376,29924427
28,Tripura,9262,650026,659288
29,UT of DNH and DD,183,307671,307854
30,Uttarakhand,31008,3312041,3343049
31,Uttar Pradesh,337180,40092490,40429670
32,West Bengal,48767,14134171,14182938
Grand Total,Grand Total,1334385,278169631,279504016
